"velocidad" "parque"
"862" 2.09 "Parque2"
"863" 2.86 "Parque2"
"864" 4.23 "Parque2"
"865" 4 "Parque2"
"866" 4.03 "Parque2"
"867" 3.76 "Parque2"
"868" 4.17 "Parque2"
"869" 4.78 "Parque2"
"870" 6.12 "Parque2"
"871" 6.13 "Parque2"
"872" 4.37 "Parque2"
"873" 5.67 "Parque2"
"874" 7.18 "Parque2"
"875" 8.01 "Parque2"
"876" 8.31 "Parque2"
"877" 8.12 "Parque2"
"878" 7.22 "Parque2"
"879" 7.68 "Parque2"
"880" 7.54 "Parque2"
"881" 8.26 "Parque2"
"882" 8.42 "Parque2"
"883" 8.24 "Parque2"
"884" 8.6 "Parque2"
"885" 8.28 "Parque2"
"886" 8.94 "Parque2"
"887" 8.38 "Parque2"
"888" 7.05 "Parque2"
"889" 7.72 "Parque2"
"890" 7.75 "Parque2"
"891" 7.28 "Parque2"
"892" 6.25 "Parque2"
"893" 6.43 "Parque2"
"894" 5.71 "Parque2"
"895" 3.62 "Parque2"
"896" 2.94 "Parque2"
"897" 4.7 "Parque2"
"898" 4.93 "Parque2"
"899" 3.14 "Parque2"
"900" 2.32 "Parque2"
"901" 1.55 "Parque2"
"902" 1.49 "Parque2"
"903" 1.85 "Parque2"
"904" 3.35 "Parque2"
"905" 3.46 "Parque2"
"906" 3.66 "Parque2"
"907" 3.3 "Parque2"
"908" 3.24 "Parque2"
"909" 3.77 "Parque2"
"910" 4 "Parque2"
"911" 2.36 "Parque2"
"912" 1.65 "Parque2"
"913" 3.43 "Parque2"
"914" 3.04 "Parque2"
"915" 3.36 "Parque2"
"916" 2.54 "Parque2"
"917" 3.15 "Parque2"
"918" 3.88 "Parque2"
"919" 4.04 "Parque2"
"920" 3.6 "Parque2"
"921" 5.22 "Parque2"
"922" 4.98 "Parque2"
"923" 4.12 "Parque2"
"924" 4.2 "Parque2"
"925" 5.11 "Parque2"
"926" 4.06 "Parque2"
"927" 3.07 "Parque2"
"928" 4.01 "Parque2"
"929" 3.84 "Parque2"
"930" 4.07 "Parque2"
"931" 4.5 "Parque2"
